ID,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,Prog,Carries,Prog,Succ,Att
2,2021-10-10,Sun,UEFA Nations League,Final,Neutral,W 2-1,fr France,es Spain,Y,FW,90,1,0,0,0,0,0,0,0,,,,0,,0.8,,,,2,,55,,,,,3,4
2,2021-10-19,Tue,Champions Lg,Group stage,Away,W 5-0,es Real Madrid,ua Shakhtar,Y*,FW,90,1,0,0,0,7,4,0,0,68,25,2,3,0,1,1,0.4,8,2,37,49,75.5,8,53,6,5,6
2,2021-10-24,Sun,La Liga,Matchweek 10,Away,W 2-1,Real Madrid,Barcelona,Y*,FW,90,0,0,0,0,1,1,0,0,48,3,1,0,0,0.1,0.1,0,3,0,35,41,85.4,3,39,2,1,1
2,2021-10-27,Wed,La Liga,Matchweek 11,Home,D 0-0,Real Madrid,Osasuna,Y*,FW,90,0,0,0,0,5,0,0,0,56,9,1,0,0,0.3,0.3,0,5,0,37,48,77.1,3,40,8,2,3
2,2021-11-03,Wed,Champions Lg,Group stage,Home,W 2-1,es Real Madrid,ua Shakhtar,Y*,FW,78,2,0,0,0,5,2,0,0,48,19,0,0,1,1.5,1.5,0.2,3,0,33,37,89.2,5,35,7,3,4
2,2021-11-06,Sat,La Liga,Matchweek 13,Home,W 2-1,Real Madrid,Rayo Vallecano,Y*,FW,82,1,0,0,0,6,1,0,0,51,8,0,0,0,1.1,1.1,0.1,1,0,32,42,76.2,3,32,5,1,1
2,2021-11-13,Sat,WCQ,First round,Home,W 8-0,fr France,kz Kazakhstan,Y,FW,70,2,0,0,0,3,2,1,0,,,,0,,1.1,,,,0,,42,,,,,1,1
2,2021-11-16,Tue,WCQ,First round,Away,W 2-0,fr France,fi Finland,N,,34,1,0,0,0,2,2,0,0,,,,1,,1.1,,,,0,,42,,,,,1,1
2,2021-11-21,Sun,La Liga,Matchweek 14,Away,W 4-1,Real Madrid,Granada,Y*,FW,79,0,0,0,0,4,1,0,0,39,5,0,0,0,0.4,0.4,0.9,8,1,25,30,83.3,5,31,9,1,3
2,2021-11-24,Wed,Champions Lg,Group stage,Away,W 3-0,es Real Madrid,md Sheriff Tiraspol,Y*,FW,90,1,0,0,0,4,1,0,0,82,3,0,1,0,0.3,0.3,0.5,5,0,62,73,84.9,6,67,17,0,1
2,2021-11-28,Sun,La Liga,Matchweek 15,Home,W 2-1,Real Madrid,Sevilla,Y*,FW,90,1,0,0,0,2,1,0,0,48,20,1,0,0,0.8,0.8,0,1,0,36,42,85.7,4,31,5,1,1
2,2021-12-01,Wed,La Liga,Matchweek 9,Home,W 1-0,Real Madrid,Athletic Club,Y*,FW,90,1,0,0,0,4,3,0,0,52,9,1,1,0,1.2,1.2,0.1,5,0,38,42,90.5,4,38,12,1,1
2,2021-12-04,Sat,La Liga,Matchweek 16,Away,W 2-0,Real Madrid,Real Sociedad,Y*,FW,16,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,6,6,100,0,4,0,0,0
2,2021-12-12,Sun,La Liga,Matchweek 17,Home,W 2-0,Real Madrid,Atlético Madrid,Y*,FW,45,1,0,0,0,1,1,0,0,29,7,1,0,0,0.1,0.1,0,1,0,21,26,80.8,0,15,1,0,0
2,2021-12-19,Sun,La Liga,Matchweek 18,Home,D 0-0,Real Madrid,Cádiz,Y*,FW,90,0,0,0,0,5,2,0,0,72,4,0,0,0,0.7,0.7,0.3,9,0,56,62,90.3,14,48,8,1,1
2,2021-12-22,Wed,La Liga,Matchweek 21,Away,W 2-1,Real Madrid,Athletic Club,Y*,FW,89,2,0,0,0,2,2,0,0,57,12,0,0,0,0.4,0.4,0.1,1,0,47,52,90.4,7,38,7,1,1
2,2022-01-02,Sun,La Liga,Matchweek 19,Away,L 0-1,Real Madrid,Getafe,Y*,FW,90,0,0,0,0,3,0,0,0,58,5,0,0,0,0.1,0.1,0,2,0,34,48,70.8,3,55,9,1,1
